MySQL [gc_sp21_dinosaurherd_log]> \. queries/maxLevelReached.sql
+--------------------------------------+--------------------------------------+-----------+
| uid                                  | sessionid                            | max_level |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 086FE411-5789-0DCB-BA15-F502E0A8B058 |         3 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 099F5BF9-391D-1915-D96E-CB44AA205048 |         2 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 09E7F649-BF44-68A9-34FB-BD115DDDD9D6 |         3 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 0A6B9748-535F-54CB-8836-0B89AA4BBD69 |         4 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 0AA603AC-3227-3315-6583-1D135782713C |         2 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 0B4DB6D4-0C12-ACFB-C522-F806AA72D08C |         3 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 0BA7476D-0CFE-7FC6-21E5-3CA28A5DA601 |         4 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 0DA2FAA3-1E4E-0DC6-09C3-10BBE7A36C2E |         1 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 0E3D5209-3DEA-40BB-E01A-5137D2B8BBB3 |         4 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 0E9F4679-E32C-FAE0-E946-CBE0E3F80815 |         6 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 101FC6A4-CB84-BBE4-4925-887FEE426604 |         4 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 10D5C93B-C54F-83F4-6907-51C428D355DF |         2 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 124074E2-8685-1D9B-0A7D-9A0C9915BD01 |         4 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 12A31F5A-79C8-ED29-D8A3-EE8CEA7B1C93 |         6 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 13FFB3FC-790C-69ED-6FAF-EA134FCF0E2B |         6 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 154A2AA8-7C56-0036-C9BE-10EEC4BB8ACB |         7 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 15E7DB38-B034-FEF3-F032-45C61A3F9C57 |         3 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 17109377-DDA3-B1DD-1B60-62AF790DA199 |         3 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 1822087A-3BFB-592D-9584-F107241ACB2D |         1 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 1894FC1C-3978-4B0B-D5C7-EBBD37219DA6 |         3 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 18AE08A9-268A-3B9B-62A0-48372CFCD698 |         4 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 18C90B84-64BE-B1FE-57CE-99A5D68D9B4E |         1 |
| 61F2CF48-1BE7-8576-E22F-351978F53446 | 18FB1A03-FE7D-D1F2-1544-E312EFB03D30 |         6 |
