log_no_quest_id,gid,cid,log_ts,aid,a_detail,uid,vid,sessionid,session_seqid,client_ts,multiplayer_uid,multiplayer_seqid
127,202107,4,1621995262,0,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,73EB34D3-0609-5175-8580-17A32878CB62,399,1621995261794,NULL,0
128,202107,1,1621995280,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,4D75CC46-20D2-4BAE-E004-4F43ECCE5A61,1,1621995280183,NULL,0
129,202107,4,1622001189,1,[],418E26EB-8022-5454-D053-7AD61208C5E1,1,B0AEF5A8-E465-DF2F-13D0-D5B16A88C4AD,1,1622001191279,NULL,0
130,202107,4,1622001256,0,[],E5971CEE-9948-7534-E7A8-A4272CAE1C9A,1,6D149E2C-F81F-AAA7-9EBC-DBE7E3035936,1,1622001256888,NULL,0
131,202107,4,1622006201,0,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,73EB34D3-0609-5175-8580-17A32878CB62,1573,1622006200952,NULL,0
132,202107,4,1622009619,0,[],D3AF95AD-235C-393D-CBEF-04F84E52B495,1,259C3F15-D1F3-2966-49AE-93688DFA6539,1,1622009619289,NULL,0
133,202107,1,1622036425,0,[],15DC2F28-CFA9-70CA-B304-9C6362E4168B,1,DD7438B2-5D68-4906-A28D-4C692026E606,1,1622036424881,NULL,0
134,202107,1,1622036533,1,[],15DC2F28-CFA9-70CA-B304-9C6362E4168B,1,035699CA-53D2-2F48-76AE-BBCC0104002E,1,1622036533310,NULL,0
135,202107,4,1622043105,1,[],1F070126-430F-D5A8-FE87-177DB4684ABF,1,28832906-91B0-DB2C-100E-BF05C9DD3C9D,1,1622043105379,NULL,0
136,202107,4,1622052540,1,[],63B29543-14CF-0733-9C5B-130ED4D48AFF,1,B46590CA-FDF4-BC53-45A6-3C1F9F6B0E87,4,1622052540778,NULL,0
137,202107,4,1622053760,1,[],6F041820-AAE5-BFEF-793B-705B6B74D27C,1,73EB34D3-0609-5175-8580-17A32878CB62,2073,1622053759525,NULL,0
138,202107,1,1622071849,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,BA3B5D0C-2CA9-7651-DF79-8269B40D7FB6,1,1622071849286,NULL,0
139,202107,1,1622072025,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,48706D12-440F-76BB-F1D9-281E2452959C,1,1622072025385,NULL,0
140,202107,1,1622072910,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,79C9DA5E-6AE6-E87D-D31A-3E8B31F62A45,1,1622072910225,NULL,0
141,202107,1,1622073131,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,5DFB74B3-4B85-A513-362E-5807B3C006A0,1,1622073131340,NULL,0
142,202107,4,1622092751,1,[],50B85B2D-61D7-E55A-290D-E537B9301F80,1,C0B00729-4392-70C0-ED47-8A0A05BD3B46,1,1622092749023,NULL,0
143,202107,4,1622092772,0,[],50B85B2D-61D7-E55A-290D-E537B9301F80,1,A8A98AA8-E08D-BD22-FA2E-FAFDF05D0B01,1,1622092769522,NULL,0
144,202107,1,1622097084,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,EE252469-27A8-90E1-41BB-07328708FF09,1,1622097084554,NULL,0
145,202107,1,1622097162,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,5113880F-FD25-509D-E0DD-C03B0E8A868C,1,1622097162322,NULL,0
146,202107,1,1622098056,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,D1A3A369-01A1-FFE7-CE6A-24A9F0134331,1,1622098056694,NULL,0
147,202107,1,1622098270,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,321535F4-CB5A-0465-E536-89FC8ADCF991,1,1622098270543,NULL,0
148,202107,4,1622100491,1,[],027A6C63-EF82-F2BA-50C0-6F2B2B7DF968,1,6106DEB5-7F8D-7667-D568-9E478F4DA175,1,1622100491250,NULL,0
149,202107,4,1622112954,1,[],F873DBC8-EB09-290B-1A20-4FDD8227E160,1,86B1FA44-2FC4-3BFD-DEE5-69ED71FECC3F,1,1622112951240,NULL,0
150,202107,1,1622117049,0,[],693CDEC1-3815-3499-52FD-9059F67E79EA,1,AF556EBC-4BA8-CF09-0DC7-C5B61D7E8956,1,1622117049439,NULL,0
151,202107,1,1622140564,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,FD7264A9-9303-D8E9-33CA-E68A686175CC,1,1622140564855,NULL,0
152,202107,4,1622140742,0,[],9CBBDEEF-FCA5-ABE7-8C9B-091BEBA102E6,1,89B58AE1-34EA-876F-7AE2-6F58AD7A917E,1,1622140755572,NULL,0
153,202107,1,1622142043,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,F78A1CED-5D7E-354D-872C-42B1C7BB6B76,1,1622142043701,NULL,0
154,202107,1,1622142194,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,34FC3F94-3E59-4705-A3DC-FEBAFA45E254,1,1622142194416,NULL,0
155,202107,1,1622142231,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,20C82FE7-0188-15BF-7895-CB6DCB927045,1,1622142231832,NULL,0
156,202107,1,1622142345,0,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,3126CB50-A1BB-F2FF-9FB5-B08E76D72AD0,1,1622142345538,NULL,0
157,202107,4,1622142516,0,[],0C6F5EE9-7FD6-A6C0-C0DD-C4B6DF2FD0A6,1,1DDD9F22-ABC9-D9DC-35C7-CF0C4C6D56FB,1,1622142516172,NULL,0
158,202107,1,1622143476,1,[],44F924F9-7413-F621-F8AA-017B1667D4FB,1,7F67FFD3-B747-72B7-A38A-4EB30840BEFB,1,1622143476795,NULL,0
